web-scraper-order,web-scraper-start-url,cat,cat-href,nae
1632478809-192,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite® Liquid Coffee Creamer, Hazelnut Flavor, 0.38 Oz Single Serve, B...3.4 out of 5 stars. 5 reviews"
1632478788-172,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee K-Cup®, House Blend, Carton Of 704.7 out of 5 stars. 821 reviews"
1632478809-187,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite® Liquid Coffee Creamer, Half-And-Half, 0.38 Oz Single Serve, Box...4.5 out of 5 stars. 16 reviews"
1632478788-171,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee K-Cup®, Dark Roast, Carton Of 704.7 out of 5 stars. 900 reviews"
1632478788-170,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee K-Cup®, Variety Pack, Carton Of 704.7 out of 5 stars. 852 reviews"
1632478788-182,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Bold Roast, Breakfast Blend...4.5 out of 5 stars. 2 reviews"
1632478788-173,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee K-Cup®, Breakfast Blend, Carton Of 7...4.7 out of 5 stars. 602 reviews"
1632478809-196,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite® Liquid Coffee Creamer, Half-And-Half, 0.38 Oz Single Serve, Cas...5.0 out of 5 stars. 3 reviews"
1632478788-181,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee, Breakfast Blend, 2 Lb Per Bag4.3 out of 5 stars. 12 reviews"
1632478809-193,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite® Liquid Coffee Creamer, Original Flavor, 0.38 Oz Single Serve, C...3.6 out of 5 stars. 5 reviews"
1632478788-176,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Donut Shop® Regular Blend, ...5.0 out of 5 stars. 3 reviews"
1632478830-207,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-kcups_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-kcups-executive-suite&promo_creative=kcups_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Hazelnut, Carton Of 240.0 out of 5 stars."
1632478788-185,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Decaffeinated, Breakfast Bl...0.0 out of 5 stars."
1632478788-174,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Medium Roast, Breakfast Ble...4.5 out of 5 stars. 2 reviews"
1632478830-204,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-kcups_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-kcups-executive-suite&promo_creative=kcups_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, 100% Colombian, Carton Of 4...5.0 out of 5 stars. 5 reviews"
1632478788-178,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Seattle Roast, Carton Of 424.6 out of 5 stars. 8 reviews"
1632478809-191,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite™ Non-Dairy Coffee Creamer, 12 Oz, Case Of 24 Canisters, 8 x 3 Pe...5.0 out of 5 stars. 1 review"
1632478809-194,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite® Liquid Coffee Creamer, Hazelnut Flavor, 0.38 Oz Single Serve, C...5.0 out of 5 stars. 3 reviews"
1632478809-186,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite™ Non-Dairy Coffee Creamer, 12 Oz, Pack Of 3 Canisters4.6 out of 5 stars. 28 reviews"
1632478809-189,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite® Liquid Coffee Creamer, French Vanilla Flavor, 0.38 Oz Single Se...4.7 out of 5 stars. 27 reviews"
1632478830-211,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-kcups_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-kcups-executive-suite&promo_creative=kcups_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Decaffeinated, 100% Colombi...0.0 out of 5 stars."
1632478830-202,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-kcups_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-kcups-executive-suite&promo_creative=kcups_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Bold Roast, Breakfast Blend...4.3 out of 5 stars. 3 reviews"
1632478788-179,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-frac-pack_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-frac-pack-executive-suite&promo_creative=frac-pack_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, Certified Organic Guatemala...0.0 out of 5 stars."
1632478830-210,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Coffee,https://www.officedepot.com/catalog/browseCatalog.do;jsessionid=0000Fd9xk175G6X7MZ4BUx6O3De:17i975ei8?N=1154874&seoText=&cbxRefine=301976&cm_sp=breakroom-_-kcups_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-kcups-executive-suite&promo_creative=kcups_executive-suite,"Executive Suite® Coffee Single-Serve Coffee Packets, French Vanilla, Carton Of 2...0.0 out of 5 stars."
1632478809-188,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite Non-Dairy Coffee Creamer, 0.07 Oz, Box Of 500 Packets4.8 out of 5 stars. 5 reviews"
1632478809-190,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite® Liquid Coffee Creamer, Original Flavor, 0.38 Oz Single Serve, B...4.8 out of 5 stars. 19 reviews"
1632478809-195,https://www.officedepot.com/cm/breakroom/executive-suite-coffee?cm_sp=breakroom-_-executive-suite_exclusive-brands_-_-brand_exclusives_main_5_3_0&promo_name=breakroom&promo_id=breakroom-executive-suite-exclusive-brands&promo_creative=executive-suite_exclusive-brands&promo_position=brand_exclusives_main_5_3_0,Executive Suite Creamers,https://www.officedepot.com/a/browse/executive-suite-creamers/N=5+1154878&cbxRefine=301976/?cm_sp=breakroom-_-creamers_executive-suite_-_-&promo_name=breakroom&promo_id=breakroom-creamers-executive-suite&promo_creative=creamers_executive-suite,"Executive Suite® Liquid Coffee Creamer, French Vanilla Flavor, 0.38 Oz Single Se...4.7 out of 5 stars. 9 reviews"
