normal_image src,hover_image src,heart src,productGalleryOverride src,productGalleryOverride src 2,productGalleryOverride src 3,lazy_href,lazy_href href,part_number 2,title,key_details,key_details 2,key_details 3,key_details 4,price,save,percent-box,final-price,ships,text 3,key_details 5,key_details 6,key_details 7,key_details 8,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,key_details 12
https://p3-ofp.static.pub/ShareResource/3PO/78023100/78023100-200x150-01.88d003ddd5c37330.png,https://p2-ofp.static.pub/ShareResource/3PO/78023100/78023100-560x450-02.813b52a30acc2a17.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,"Playa by Belkin 10K Power Bank, 18W PD USB-C IN/OUT, USB-A OUT - Black",https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/power-banks/78023100,78023100,Key Details,Provides up to 36 hours of additional battery life for your smartphone,Fast charge USB-C smartphones like Google Pixel up to 50% in 37 minutes,Requires USB-C to USB-C cable to achieve fast charging times for USB-C devices (sold separately),"USB-C PD fast charge-enabled devices include Samsung S20, S20+, S20 Ultra, S10, S10+, S10e, Note10, Note10, Google Pixel 4, 4XL, Pixel 3, 3XL and more (cables required to achieve fast charging times are sold separately)",$39.99,save $16.00,40% off,$23.99,Ships FREE in 1-3 business days,$0.72,Provides up to 36 hours of additional battery life for your smartphone,Fast charge USB-C smartphones like Google Pixel up to 50% in 37 minutes,Requires USB-C to USB-C cable to achieve fast charging times for USB-C devices (sold separately),"USB-C PD fast charge-enabled devices include Samsung S20, S20+, S20 Ultra, S10, S10+, S10e, Note10, Note10, Google Pixel 4, 4XL, Pixel 3, 3XL and more (cables required to achieve fast charging times are sold separately)",,,,,
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X20M26268/4X20M26268-560x450-01.86107460c5167ff2.png,https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X20M26268/4X20M26268-560x450-02.61f5a0696c22551d.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo 65W AC Power Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20M26268,4X20M26268,Key Details,Compatible with most USB-C laptops,Smart Voltage technology,1 year warranty,Compatible with most USB-C laptops,,,,$59.99,"Ships FREE by Thu, Oct 14",$1,Smart Voltage technology,1 year warranty,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20M26268,[object Object],4.7,(630),
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX20K11838/GX20K11838-560x450-01.58cf0c5317d38980.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX20K11838/GX20K11838-560x450-02.d7cae47c41cfee7c.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo 45W AC Wall Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20K11838,GX20K11838,Key Details,Compatible with various Yoga and IdeaPad notebooks,1 year warranty,,Compatible with various Yoga and IdeaPad notebooks,$29.99,save $9.00,30% off,$20.99,"Ships FREE by Thu, Oct 14",$0.63,1 year warranty,,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20K11838,[object Object],4.7,(1702),
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX20L29355/GX20L29355-560x450-01.c38d8582681ffa05.png,,,,,,Lenovo 65W AC Wall Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20L29355,GX20L29355,Key Details,Compatible with various Yoga and IdeaPad notebooks,1 year warranty,,Compatible with various Yoga and IdeaPad notebooks,$39.99,save $12.00,30% off,$27.99,"Ships FREE by Thu, Oct 14",$0.84,1 year warranty,,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20L29355,[object Object],4.6,(576),
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X20V24674/4X20V24674-560x450-01.d2db550a80b1fa0b.png,,,,,,ThinkPad 65W Slim AC Adapter (USB Type-C),https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20V24674,4X20V24674,Key Details,"Portable and slim design, 30% size reduction, designed with cable management","65W power charging, Smart Voltage with PD3.0 technology","Tested and reliable: tested, reliable and backed by a one-year limited warranty","Portable and slim design, 30% size reduction, designed with cable management",,,,$69.99,Ships in 4+ months,$2,"65W power charging, Smart Voltage with PD3.0 technology","Tested and reliable: tested, reliable and backed by a one-year limited warranty",,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20V24674,[object Object],4.7,(76),
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/40AWGC65WW/40AWGC65WW-560x450-01.737e56d985aa2292.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/40AWGC65WW/40AWGC65WW-560x450-02.613a3c6caf33775a.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo 65W USB-C GaN Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/40AWGC65WW,40AWGC65WW,Key Details,65W has a smaller profile and wight thanks to GaN technology,Ultra-portable design with a foldable plug for easy storage,Elegant and stylish with cable management to keep organized,65W has a smaller profile and wight thanks to GaN technology,,,,$64.99,Ships FREE in 4-7 business days,$1,Ultra-portable design with a foldable plug for easy storage,Elegant and stylish with cable management to keep organized,Quickly refuel your laptop or mobile devices via USB-C,Reliable PD 3.0 support with adjustable output voltages of 5V/9V/15V/20V,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/40AWGC65WW,[object Object],4.7,(54),Quickly refuel your laptop or mobile devices via USB-C
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/888014997/888014997-560x450-01.1791a1cae6e3e363.png,,,,,,Lenovo 65W AC Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/888014997,888014997,Key Details,"Compact, energy efficient AC power",Performs to the same specs as standard 65W AC adapters that ship with our notebooks,"Supports systems between 15 - 46W CPUs with integrated graphics, and 15W CPUs with discrete graphics","Compact, energy efficient AC power",$49.99,save $15.00,30% off,$34.99,"Ships FREE by Thu, Oct 14",$1,Performs to the same specs as standard 65W AC adapters that ship with our notebooks,"Supports systems between 15 - 46W CPUs with integrated graphics, and 15W CPUs with discrete graphics",Compatible with:,"U330p, U330 Touch; U430p, U430 Touch; S500, S500 Touch",https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/888014997,[object Object],4.3,(29),Compatible with:
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X20M26252/4X20M26252-560x450-01.80b16778b8b2773d.png,,,,,,Lenovo 45W USB-C AC Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20M26252,4X20M26252,Key Details,"The PD technology automatically detects and delivers 5V/2A,9V/2A ,15V/3A or 20V/2.25A","Tested, reliable and backed by a one-year limited warranty",,"The PD technology automatically detects and delivers 5V/2A,9V/2A ,15V/3A or 20V/2.25A",,,,$54.99,"Ships FREE by Thu, Oct 14",$1,"Tested, reliable and backed by a one-year limited warranty",,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20M26252,[object Object],4.5,(133),
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X20S56713/4X20S56713-560x450-01.d4a7446c2889bd90.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X20S56713/4X20S56713-560x450-02.77d906895fe8834c.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Mobile Workstation Slim 230W AC Adapter (Slim-tip),https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20S56713,4X20S56713,Key Details,230W wattage,30% size reduction comparing to ThinkPad Standard 230W AC adapter,"Compatible with ThinkPad Mobile Workstation Machines with rectangular ""Slim Tip"" power plug",230W wattage,,,,$149.99,Ships in 4+ months,$4,30% size reduction comparing to ThinkPad Standard 230W AC adapter,"Compatible with ThinkPad Mobile Workstation Machines with rectangular ""Slim Tip"" power plug",,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20S56713,[object Object],4.5,(17),
https://p1-ofp.static.pub/fes/cms/2021/09/21/jkb003fwislvrgs270t9wb1hmggs5e448888.png,https://p1-ofp.static.pub/fes/cms/2021/09/21/jui8ow8v7nykqo65ovq2r7nbn2qpem124050.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,"Lenovo USB-C 45W Standard AC Adapter for Yoga 720-13,IdeaPad 720s-13",https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20N20876,GX20N20876,Key Details,"Easy charging, even on-the-go",Light and energy-efficient,1-year warranty,"Easy charging, even on-the-go",$49.99,save $15.00,30% off,$34.99,"Ships FREE by Thu, Oct 14",$1,Light and energy-efficient,1-year warranty,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20N20876,[object Object],4.6,(109),
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/0A36258/0A36258-560x450-01.8e5c67da9dbd77ff.png,,,,,,ThinkPad 65W AC Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/0A36258,0A36258,Key Details,System building block accessory,Performs to the same specifications as the standard AC adapter that ships with the notebooks,Energy efficient with Energy Star V (ES 2.0),System building block accessory,,,,$59.99,Ships FREE in 4-7 business days,$1,Performs to the same specifications as the standard AC adapter that ships with the notebooks,Energy efficient with Energy Star V (ES 2.0),Compatible with 2013 Lenovo notebooks with rectangular “slim tip” common power plug,"Not compatible with legacy notebook systems with the round, barrel-type power plug",https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/0A36258,[object Object],4.4,(138),Compatible with 2013 Lenovo notebooks with rectangular “slim tip” common power plug
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX20Z46256/GX20Z46256-560x450-01.596df7ba71f7166f.png,,,,,,Lenovo Slim USB-C 65W AC Adapter(UL),https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20Z46256,GX20Z46256,Key Details,"Portable and slim design, 30% size reduction, designed with cable management","65W power charging, Smart Voltage with PD3.0 technology","Tested and reliable: tested, reliable and backed by a one-year limited warranty","Portable and slim design, 30% size reduction, designed with cable management",$59.99,save $22.00,36% off,$37.99,"Ships FREE by Thu, Oct 14",$1,"65W power charging, Smart Voltage with PD3.0 technology","Tested and reliable: tested, reliable and backed by a one-year limited warranty",,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/GX20Z46256,[object Object],4.7,(40),
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X20E75111/4X20E75111-560x450-01.3fa86b206bc3011a.png,,,,,,ThinkPad 230W AC Adapter Slim Tip,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E75111,4X20E75111,Key Details,Compatible with all Lenovo laptops with the rectangular “slim-tip” common power plug,Compact design,1 year warranty,Compatible with all Lenovo laptops with the rectangular “slim-tip” common power plug,,,,$154.99,Ships in 4+ months,$4,Compact design,1 year warranty,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E75111,[object Object],4.2,(33),
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/40AK0065WW/40AK0065WW-560x450-01.ab841cf1425d8d70.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/40AK0065WW/40AK0065WW-560x450-02.88aefb164a1482f0.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Lenovo 65W USB-C DC Travel Adapter,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/40AK0065WW,40AK0065WW,Key Details,Refuel your laptop or mobile device via USB-C,"Plug in auto outlet, will both power your Lenovo/ThinkPad NB as well as charge its battery",65W power enables rapid charging on ThinkPad X1 family,Refuel your laptop or mobile device via USB-C,,,,$59.99,Ships FREE in 4-7 business days,$1,"Plug in auto outlet, will both power your Lenovo/ThinkPad NB as well as charge its battery",65W power enables rapid charging on ThinkPad X1 family,"Compliance with PD 3.0/ Power profile includes 5V, 9V, 15V, 20V,suitable to charge NB, tablet and Phones",Backward compatible with PD2.0,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/40AK0065WW,[object Object],4.4,(77),"Compliance with PD 3.0/ Power profile includes 5V, 9V, 15V, 20V,suitable to charge NB, tablet and Phones"
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X20E50558/4X20E50558-560x450-01.51f7fcf6367dfb72.png,,,,,,ThinkPad 135W AC Adapter Slim Tip,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E50558,4X20E50558,Key Details,Performs to the same specifications as the standard AC adapter that ships with the ThinkPad laptops,Energy efficient with Energy Star V (ES 2.0),Compatible with ThinkPad laptops with rectangular “slim tip” common power plug,Performs to the same specifications as the standard AC adapter that ships with the ThinkPad laptops,,,,$109.99,Ships FREE in 4-7 business days,$3,Energy efficient with Energy Star V (ES 2.0),Compatible with ThinkPad laptops with rectangular “slim tip” common power plug,"Not compatible with ThinkPad laptops with the round, barrel-type power plug",,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20E50558,[object Object],4.5,(67),"Not compatible with ThinkPad laptops with the round, barrel-type power plug"
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X20S56697/4X20S56697-560x450-01.97845b6e00dce24c.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X20S56697/4X20S56697-560x450-02.36e540c32a6d36dc.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkPad Mobile Workstation Slim 170W AC Adapter (Slim-tip),https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20S56697,4X20S56697,Key Details,The ThinkPad 170W Slim AC adapter is the new adapter with slim and small design. It is your perfect replacement or spare power adapter for your ThinkPad Mobile Workstation machines.,"To check if the charger is compatible with your system,",CLICK HERE,The ThinkPad 170W Slim AC adapter is the new adapter with slim and small design. It is your perfect replacement or spare power adapter for your ThinkPad Mobile Workstation machines.,,,,$134.99,Ships in 4+ months,$4,"To check if the charger is compatible with your system,",CLICK HERE,,,https://www.lenovo.com/us/en/p/accessories-and-software/chargers-and-batteries/chargers/4X20S56697,[object Object],4.1,(14),
