product-img-link href,cleanDesc,part-info,part-info 2,price,short-description,starting-at
https://www.turnermotorsport.com/p-2730-100-turner-motorsport-gift-package/,$100 Turner Motorsport Gift Package,2730,GC100,$101.11,"Special Gift Package! This BMW holiday gift package includes a $100 Turner Motorsport gift certificate (the perfect gift for any BMW enthusiast) and a Genuine BMW ceramic coffee mug. That's essentially a free authentic BMW coffee mug to give for that BMW lover on your shopping list. No matter what BMW your gift recipient owns, or what they need, you know they can choose exactly what they want from our THOUSANDS of BMW products, parts and BMW accessories. Offer valid while supplies last.",
https://www.turnermotorsport.com/p-338912-50-gift-certificate-with-turner-pint-glass/,$50 Gift Certificate with Turner Pint Glass,338912,GC50-PG,$50.00,"Looking for a $50 Turner Motorsport gift certificate? Why not treat yourself to a Turner pint glass too? If anything it makes a beautiful glass display for the gift certificate.     16oz glass is an excellent companion when watching Turner racecars on the couch. Or when ordering parts from our website with your $50 gift certificate! Works great with beer, cider, soda, and even Yoohoo!",Starting at
https://www.turnermotorsport.com/p-605813-liqui-moly-lip-lubricant-balm-priced-each/,Liqui Moly Lip Lubricant Balm - Priced Each,605813,LIPLUBRICANT,$1.99,,
https://www.turnermotorsport.com/p-555902-pasha-browntan/,Striipe Pasha Sock - Brown/Tan,555902,BRNPASHA,$19.99,"Briggs Cunningham rolled onto the Circuit de la Sarthe in his stark white C2R race car emblazoned with two dark blue stripes down the center. His concept was simple, the stripes would distinguish Cunningham’s cars from the rest of field making them easier to identify throughout the race. Little did he know that those two stripes would forever change the look of motor racing.",Starting at
https://www.turnermotorsport.com/p-555911-cn-36/,Striipe CN 36 Sock,555911,CN36,$19.99,"Briggs Cunningham rolled onto the Circuit de la Sarthe in his stark white C2R race car emblazoned with two dark blue stripes down the center. His concept was simple, the stripes would distinguish Cunningham’s cars from the rest of field making them easier to identify throughout the race. Little did he know that those two stripes would forever change the look of motor racing.",Starting at
https://www.turnermotorsport.com/p-555910-houndstooth-brown/,Striipe Houndstooth Sock - Brown,555910,HNDTHBR,$19.99,"Briggs Cunningham rolled onto the Circuit de la Sarthe in his stark white C2R race car emblazoned with two dark blue stripes down the center. His concept was simple, the stripes would distinguish Cunningham’s cars from the rest of field making them easier to identify throughout the race. Little did he know that those two stripes would forever change the look of motor racing.",Starting at
https://www.turnermotorsport.com/p-555909-grey-houndstooth/,Striipe Houndstooth Sock - Grey,555909,HNDTHGR,$19.99,"Briggs Cunningham rolled onto the Circuit de la Sarthe in his stark white C2R race car emblazoned with two dark blue stripes down the center. His concept was simple, the stripes would distinguish Cunningham’s cars from the rest of field making them easier to identify throughout the race. Little did he know that those two stripes would forever change the look of motor racing.",Starting at
https://www.turnermotorsport.com/p-555906-martini/,Striipe Martini Sock,555906,MARTINI,$19.99,"Briggs Cunningham rolled onto the Circuit de la Sarthe in his stark white C2R race car emblazoned with two dark blue stripes down the center. His concept was simple, the stripes would distinguish Cunningham’s cars from the rest of field making them easier to identify throughout the race. Little did he know that those two stripes would forever change the look of motor racing.",Starting at
https://www.turnermotorsport.com/p-555903-pasha-whiteblack/,Striipe Pasha Sock - White/Black,555903,WHTPASHA,$19.99,"Briggs Cunningham rolled onto the Circuit de la Sarthe in his stark white C2R race car emblazoned with two dark blue stripes down the center. His concept was simple, the stripes would distinguish Cunningham’s cars from the rest of field making them easier to identify throughout the race. Little did he know that those two stripes would forever change the look of motor racing.",Starting at
https://www.turnermotorsport.com/p-555905-mk-1-gti/,Striipe MK 1 GTI Sock,555905,MK1GTI,$19.99,"Briggs Cunningham rolled onto the Circuit de la Sarthe in his stark white C2R race car emblazoned with two dark blue stripes down the center. His concept was simple, the stripes would distinguish Cunningham’s cars from the rest of field making them easier to identify throughout the race. Little did he know that those two stripes would forever change the look of motor racing.",Starting at
https://www.turnermotorsport.com/p-555912-gulf-9083/,Striipe Gulf 908/3 Sock,555912,GULF9083,$19.99,"Briggs Cunningham rolled onto the Circuit de la Sarthe in his stark white C2R race car emblazoned with two dark blue stripes down the center. His concept was simple, the stripes would distinguish Cunningham’s cars from the rest of field making them easier to identify throughout the race. Little did he know that those two stripes would forever change the look of motor racing.",Starting at
https://www.turnermotorsport.com/p-1790-glossy-carbon-fiber-bi-fold-wallet/,Glossy Carbon Fiber Bi-Fold Wallet,1790,TMS1790,$44.95,"If you simply can not get enough carbon fiber in your life, then this will be a must have. Our simple men's bi-fold wallet features real carbon fiber and stitched soft black leather. It's meant to be thin, light weight and the carbon fiber is coated and flexible so that it is comfortable in your pocket.This carbon fiber wallet features the following:",
https://www.turnermotorsport.com/p-567744-fabspeed-competition-wall-mount-bottle-opener/,Fabspeed Competition Wall Mount Bottle Opener,567744,FSWBOTOP,$15.00,,